Pores,,,,,,,,,,Throats,,,,,,
Pore ID,Volume,Area,EqRadius,LabelID,Pressure,X Coord,Y Coord,Z Coord,Coordination Number,Throat ID,Area,EqRadius,ChannelLength,FlowRatePerSec,Pore ID #1,Pore ID #2
0,0.277306527,5.00698185,0.404535979,1,103092.6953,26.64091682,18.13331985,9.7554636,1,0,0.017216668,0.074028611,3.74651885,1.40E-10,2,1
1,0.099244207,2.38503027,0.287213951,2,103092.6953,27.5945282,18.01753998,9.647497177,2,1,0.130487204,0.203802273,1.835526109,0.00E+00,74,36
2,2.859654188,27.54375267,0.880524874,3,103092.6953,31.32359123,18.22718811,9.941672325,2,2,0.218216613,0.263553619,3.11228013,2.66E-11,36,26
3,4.00140667,54.59802246,0.98486048,4,102833,51.57354736,22.29135323,9.881361961,5,3,2.105725527,0.818702161,2.14020443,0.00E+00,36,3
4,0.939767182,18.82335472,0.607636571,5,102833,44.59424591,22.07729149,9.674856186,3,4,0.321197063,0.31975022,2.141802311,2.79E-11,5,3
5,1.093462467,25.27431488,0.639104307,6,102833,49.43902969,22.12107468,9.834923744,3,5,0.257656962,0.286382198,1.145466805,3.36E-11,34,4
6,1.950692654,23.77233315,0.775116086,7,102833,47.22296524,23.19058609,9.561923027,4,6,0.231495068,0.271453798,2.475747347,5.01E-11,6,5
7,0.078041025,2.341595173,0.265101045,8,102833,48.19617462,24.94659805,9.409730911,3,7,0.040948596,0.114168048,2.856981516,6.80E-13,6,4
8,8.416885376,98.07474518,1.261888385,9,102833,45.39725113,26.07305527,9.976520538,8,8,0.267868996,0.29200232,3.437113762,6.04E-11,8,6
9,0.785072744,15.77968025,0.572278082,10,103035.4375,28.40597343,28.12567711,9.75026989,3,9,0.05360451,0.130624831,2.013424158,1.65E-12,7,6
10,0.576704323,10.58553505,0.516362727,11,103030.2422,36.58009338,30.11735916,9.578266144,3,10,0.016873058,0.073286161,3.069874525,3.76E-13,8,7
11,1.968232393,24.63055611,0.777432323,12,103029.5703,39.72220993,31.16396141,9.841284752,4,11,0.029235603,0.096467517,3.062959671,4.85E-13,27,7
12,0.491281033,11.5043602,0.489493728,13,103035.4375,29.19776154,32.91761398,10.25872612,2,12,1.125182986,0.598462105,1.527923226,0,42,27
13,0.736893773,8.920339584,0.560323417,14,103035.4531,32.57424164,32.90256119,9.788236618,2,13,0.189336568,0.245494813,3.362184525,0,48,9
14,0.162964761,2.878930569,0.338845491,15,103035.6719,35.73664474,34.01960754,9.563948631,2,14,0.270205766,0.293273181,3.134588957,0.183478564,52,48
