Pores,,,,,,,,,,Throats,,,,,,
Pore ID,Volume,Area,EqRadius,LabelID,Pressure,X Coord,Y Coord,Z Coord,Coordination Number,Throat ID,Area,EqRadius,ChannelLength,FlowRatePerSec,Pore ID #1,Pore ID #2
0,0.083036534,2.299215317,0.270640969,1,103010.5781,34.81187439,24.66513634,8.731494904,2,0,0.39569217,0.354898185,2.44844532,7.964509487,81,77
1,1.593346715,40.74795151,0.724559248,2,103098,25.57998848,25.35915184,9.355341911,4,1,0.110617682,0.187645152,1.690731406,2.98E+00,87,0
2,3.883900642,122.2072678,0.975124002,3,102951.8438,41.30138397,25.60399437,9.467307091,9,2,0.19052431,0.246263623,2.876864672,22.67473221,102,87
3,0.570154607,18.04828835,0.514400423,4,103045.9688,31.85635376,25.64131927,9.272916794,7,3,0.075041495,0.154552415,1.264801741,2.98E+00,79,0
4,1.504204512,46.60734558,0.710786939,5,102924.1094,44.5528183,26.08408928,9.463027954,7,4,0.162271202,0.227271929,2.251113415,19.68902588,119,3
5,0.850846946,34.51704025,0.587833405,6,103002.0313,35.95256042,26.95444679,9.024842262,6,5,1.007256031,0.566232801,2.210700989,58.50127029,102,2
6,0.242115885,7.342745781,0.386644244,7,103083.7109,30.79092789,27.15226173,8.826328278,4,6,0.806959331,0.506816685,1.35528326,64.12322998,81,4
7,1.957464099,67.84566498,0.776011944,8,102958.5781,39.1032753,27.40407753,9.109197617,8,7,0.371411026,0.343836874,1.683799267,0.729943454,77,4
8,0.539681971,17.40063858,0.505067885,9,103046.3359,31.66268539,27.23041725,9.312935829,7,8,0.139965266,0.211074218,1.993741393,7.248557091,79,3
9,3.678140879,105.3704834,0.957590699,10,102959.4297,40.59202576,28.36118698,9.043349266,12,9,0.389530778,0.352124274,1.93677938,11.00216675,102,7
10,6.675004959,175.3912506,1.168030858,11,102906.7969,46.51790237,28.6149807,9.301344872,12,10,0.401968926,0.357701957,2.2005651,71.21354675,81,2
11,3.083508253,61.82580185,0.902926028,12,102833,51.1769371,29.2286644,9.148547173,6,11,0.043515757,0.117692374,1.60135603,0.017451264,8,3
12,1.21374321,27.78297424,0.661727846,13,103004.1094,34.7872963,30.22386932,8.952881813,7,12,0.147274956,0.216515765,1.548720956,2.542258978,119,6
13,16.14494324,259.7661438,1.567891479,14,103004.9844,32.37384796,30.4508152,9.452138901,21,13,0.227767274,0.269259304,2.863603354,4.853486538,7,2
14,1.533234,49.00492859,0.715330303,15,102963.6875,38.98031616,30.29756165,8.972664833,6,14,0.426070064,0.368269354,2.879922628,14.60200691,109,74
15,1.283180833,47.31220245,0.674113631,16,102964.1172,39.37843704,31.41983414,9.24634552,8,15,0.550908744,0.418759704,3.208287477,65.17131042,10,4
16,1.772963166,57.47881699,0.750822067,17,102833,50.30002594,31.42699242,9.228468895,7,16,0.049305171,0.125276983,2.357266903,0.856643379,90,81
17,2.967778921,90.78684998,0.891485572,18,103098,26.82341766,31.43561745,9.368683815,5,17,0.151859418,0.219859853,2.878374577,2.42E+00,9,2
18,0.699094355,24.98207664,0.550574005,19,102967.2266,36.38315201,32.08364868,8.890649796,6,18,0.690265119,0.468741089,1.771093607,9.181582451,9,7
19,1.045116901,43.05730057,0.629543006,20,102954,45.00048065,32.4875145,9.022378922,7,19,0.257900059,0.286517263,2.001775503,3.820113659,82,9
20,0.824204207,28.87014389,0.581632614,21,103011,30.74836159,33.23265076,9.00949192,6,20,0.152310982,0.220186487,3.307625532,1.701508164,293,5
21,3.149837732,93.01005554,0.909354448,22,102966.9922,38.1722908,33.23703384,9.33855629,13,21,0.129078969,0.202699557,2.700387716,2.722456217,90,9
22,0.680111408,24.59949112,0.545544863,23,103098,24.66150475,33.04740143,9.360661507,2,22,0.012086953,0.062027387,2.947746515,0.009143674,293,116
23,11.19050503,243.2000885,1.387566209,24,102993.0703,34.65270996,34.27661514,9.379798889,22,23,0.060134832,0.138352856,1.532358527,0.875802696,116,111
24,0.118227147,5.376489162,0.30446884,25,102833,51.46599579,33.81174469,8.855807304,2,24,0.112844236,0.189524233,3.130127668,1.259063005,116,13
25,0.53690666,18.57701683,0.504200637,26,102995.1094,32.7159996,34.05475235,9.055423737,4,25,0.130558506,0.203857943,3.389409304,0.938563228,293,111
26,3.951728582,94.14693451,0.980767727,27,102962.9766,40.35344315,33.75629425,9.017053604,10,26,0.265221506,0.290555716,2.870290518,5.52710104,80,7
27,1.714404702,62.11782837,0.742463172,28,102941.4922,47.30305862,34.46471786,8.984562874,8,27,0.119359963,0.194919094,3.477297544,6.77E+00,90,10
28,0.725071013,27.5723877,0.557310581,29,102952.5234,44.12107849,36.43941879,8.902309418,6,28,0.213448346,0.260658234,3.20156908,2.72E+00,80,9
29,0.437717974,16.41045189,0.471015573,30,102993.5859,32.85471344,36.69923401,8.929190636,5,29,0.04449252,0.119005919,1.844407678,0.028650252,111,12
30,0.337086141,12.9507122,0.431735158,31,102965.0156,40.95681763,37.33968353,8.847484589,5,30,0.118888587,0.19453384,4.053261757,0.928782284,134,9
31,0.947704375,26.68818474,0.609342456,32,103098,25.17017555,37.22317505,9.066566467,3,31,0.198949859,0.251649976,2.802389145,2.470296144,134,90
32,9.691350937,254.0848541,1.322610378,33,102974.1797,37.66450119,37.69833755,9.658474922,17,32,0.623174965,0.445379347,2.474973679,5.48135519,13,12
33,2.83301115,78.31786346,0.877781808,34,102927.5859,47.93228149,36.97636414,9.133938789,8,33,1.031756401,0.573077858,1.468062043,16.03040314,80,14
34,0.882651687,27.63400459,0.595068455,35,103000.7734,32.63811874,38.08965683,8.893837929,5,34,0.52137661,0.407381058,2.520347357,18.25933075,14,9
35,0.647862554,22.56148529,0.536782205,36,102940.0391,46.21434402,38.25392151,8.842216492,9,35,0.283418298,0.300357878,4.713510036,50.03941727,16,10
36,2.270349741,89.41897583,0.815332472,37,102833,50.19448853,39.65197372,9.318547249,7,36,0.084736459,0.164232925,3.284154892,3.468015909,80,12
37,1.130540133,40.44214249,0.646247864,38,103038.7891,31.48494339,39.7748642,9.4208498,7,37,0.948940694,0.549597323,1.668860555,2.142738104,149,9
