Pores,,,,,,,,,,Throats,,,,,,
Pore ID,Volume,Area,EqRadius,LabelID,Pressure,X Coord,Y Coord,Z Coord,Coordination Number,Throat ID,Area,EqRadius,ChannelLength,FlowRatePerSec,Pore ID #1,Pore ID #2
0,0.219068378,3.050852776,0.373964489,1,102974.7891,20.13512421,13.77258682,13.07467747,1,0,0.373519927,0.344811678,3.20720315,0,85,0
1,1.752325773,13.35382271,0.747897506,2,102974.7891,25.08604431,17.06529617,13.3010931,2,1,0.574167013,0.427507937,3.421523809,5.58E-11,85,1
2,60.0737381,178.6422272,2.429584742,3,102833,46.08499146,16.56468964,14.29806995,9,2,16.87047577,2.317334414,2.525217295,34.90581894,3,2
3,22.46515656,71.70845032,1.750411987,4,102833.0078,44.01669312,17.82135582,15.01894093,7,3,0.67509073,0.463560194,2.371224403,1.11E-10,55,1
4,8.647421837,37.71490097,1.273305655,5,102833.0313,37.57984543,19.92768097,13.33502293,1,4,11.14167881,1.883217096,3.761513948,35.05937195,5,3
5,51.67596817,153.6821289,2.310645819,6,102833.0313,43.21291733,21.42171669,14.28386784,8,5,6.593937874,1.44876349,5.642669678,10.57239914,5,2
6,1.859786034,21.57269669,0.762883365,7,102889.7578,31.04491806,24.49756432,13.4984951,2,6,0.178368032,0.238277793,5.904570103,0,5,4
7,0.178639457,2.686669588,0.349378556,8,102833.0938,40.96003723,25.50723076,12.98041058,2,7,0.480040044,0.390898317,5.169967175,0.106267147,35,5
8,0.22426717,3.04831934,0.37689963,9,103098,17.45580482,26.34822273,13.00096989,1,8,1.55612576,0.703796983,3.90060401,24.55364227,43,9
9,2.872002602,23.36509895,0.881790459,10,103097.0078,19.8481369,26.12671852,13.28015041,2,9,5.055381775,1.268533826,5.293224335,31.26823425,61,5
10,11.4340868,48.64386749,1.397561669,11,102833.1719,41.88968277,31.52038956,13.65173054,6,10,0.22677879,0.268674403,1.683412671,0.000269235,35,7
11,0.386204124,5.589632034,0.451761723,12,102834.6719,32.36297226,32.4985199,13.07373428,1,11,0.015608933,0.070487432,3.694993734,0.000269235,61,7
12,0.083899707,2.02110076,0.271575511,13,102833.6563,36.44170761,33.44057465,12.90600491,1,12,0.250159115,0.282184541,3.594921827,0,43,8
13,0.087826453,1.438919544,0.275747925,14,102834.6172,33.50748825,33.37394333,12.98267174,1,13,4.76825428,1.231983185,5.4643116,4.828280926,61,10
14,0.075935595,1.561621666,0.262695283,15,102834.6172,33.70409775,35.00385666,12.893507,1,14,0.998835027,0.563860834,4.22494936,5.045668602,38,29
15,1.226528525,15.06883049,0.664043248,16,102837.2266,31.62616348,35.59115219,13.35068607,3,15,0.138731659,0.210142002,1.63744998,0.031422984,42,29
16,21.88731575,76.01791382,1.735273719,17,102833.0703,42.08149719,37.30078506,13.9853487,10,16,1.98304832,0.794496,1.559944391,5.014245987,88,29
17,0.851662219,9.582949638,0.5880211,18,102833.0625,34.81038284,39.64164352,13.33469582,2,17,0.000786922,0.015826721,2.19225359,1.64E-16,34,12
18,0.143132791,2.047737598,0.324501604,19,103080.6875,21.20900917,39.54045486,13.00189018,1,18,0.179288268,0.238891661,0.749248743,0,30,14
19,22.00749588,103.6229858,1.738443971,20,102833.0625,38.28121185,39.51495743,14.17664433,10,19,0.648677349,0.454401165,4.575836658,0.301766396,44,10
20,0.485368371,9.029777527,0.487522066,21,103080.5859,26.26474571,41.83361435,13.29412174,2,20,1.755828142,0.747594476,5.793191433,2.070355654,16,10
21,0.198992178,2.931442499,0.362172782,22,102833.0625,33.15166092,41.98086166,13.304842,2,21,2.351554871,0.865172327,2.920861006,1.15268898,44,16
22,1.836391449,16.92034531,0.759671032,23,102833.0625,38.4095993,42.16215515,13.14703083,6,22,2.421973705,0.878030837,4.402421951,0.235557154,19,16
23,0.038493209,1.047853112,0.209458739,24,102833.0625,40.73054123,42.31404495,12.84780216,2,23,0.174950898,0.235984325,1.857148051,0.016312338,52,28
24,0.83047986,11.25022507,0.583105087,25,102833.0625,35.00099564,42.63068771,13.52038479,4,24,3.907626867,1.115274072,4.293889999,4.354547501,83,16
25,3.390886545,20.6703186,0.931983531,26,102833,45.80215454,42.56351852,13.2298069,1,25,0.623547614,0.445512474,5.602541447,0.072712183,83,19
26,0.390462697,5.021270275,0.453416139,27,102833.0625,36.47515488,43.44994354,13.12414455,2,26,3.945981264,1.120734096,3.235373735,7.569397449,83,25
27,0.227143109,3.276699543,0.378503859,28,102833.0625,39.66728592,43.51540375,12.93289566,1,27,0.607218027,0.439640194,2.843280315,1.80E-09,22,19
28,0.519713581,6.413172722,0.498760253,29,102833.0234,45.35876846,38.65544128,13.43528843,4,28,0.086267076,0.16570957,2.089166403,8.04E-11,40,31
29,6.348226547,41.86693573,1.148650646,30,103081.6094,28.03301811,32.063591,13.61295033,3,29,0.028019536,0.094439901,2.330118656,7.80E-13,32,31
30,0.727333546,11.18178558,0.5578897,31,102834.6172,33.65545654,34.76318741,13.6013813,4,30,0.05936059,0.137459308,1.971996784,9.31E-12,24,21
