Pores,,,,,,,,,,Throats,,,,,,
Pore ID,Volume,Area,EqRadius,LabelID,Pressure,X Coord,Y Coord,Z Coord,Coordination Number,Throat ID,Area,EqRadius,ChannelLength,FlowRatePerSec,Pore ID #1,Pore ID #2
0,0.378049374,12.51445389,0.448559403,1,102867.1406,28.78783417,22.42101479,9.840090752,1,0,1.0524019,0.578783155,1.336945057,0.89084059,86,2
1,3.825342417,18.80036545,0.970198453,2,102864.4609,44.17571259,23.30882263,9.962873459,1,1,2.483115911,0.889044642,2.311295748,4.31E+01,126,75
2,3.208618402,32.99856186,0.914976299,3,103098,24.02524185,24.98097038,9.920545578,4,2,2.537363768,0.898703516,1.20922339,70.40481567,75,8
3,0.50027293,8.589994431,0.492462099,4,102865.1875,50.40040207,25.62143707,10.13148403,2,3,0.041169602,0.114475727,1.844704866,0.00E+00,9,7
4,0.255492777,4.869084835,0.393637687,5,102865.1875,49.40096283,26.06489944,9.752775192,2,4,0.029184438,0.096383065,2.300866365,1.99E-08,10,6
5,0.157247677,3.170419693,0.334835798,6,103096.8359,28.83171844,26.86351585,9.66045475,2,5,0.016688574,0.072884418,2.261367321,1.23E-11,106,9
6,2.760632038,36.70966339,0.87024188,7,103093.6484,36.1711731,27.49042511,9.835570335,5,6,0.008969869,0.053434052,4.021416187,0.151756629,14,6
7,0.396144241,9.477565765,0.455604762,8,102865.1953,43.70022964,26.85894012,9.758517265,1,7,0.083179191,0.162716806,3.022037029,8.948213577,18,15
8,2.070307493,17.66994286,0.790646017,9,103096.4219,26.94356728,28.80138016,10.24476624,3,8,0.256878555,0.28594926,1.612692475,0.133644089,20,14
9,0.108680181,2.691123962,0.296042383,10,102865.1953,44.00489426,28.66033554,9.503389359,2,9,0.248865649,0.281454086,1.645595193,9.618899345,20,18
10,0.369945556,14.3804884,0.445331127,11,103093.6484,37.98804855,28.87819099,9.576620102,2,10,0.084410839,0.163917065,1.615118742,2.977121115,58,15
11,0.138042703,4.17735815,0.320608437,12,103007.75,29.05994034,30.18854332,9.761899948,1,11,0.034849357,0.105322816,1.667606235,2.05366683,92,58
12,0.346688658,11.28309441,0.43579644,13,102865.1328,41.32514572,31.44529343,9.699365616,2,12,0.015272839,0.069724426,1.953682065,0.391450673,58,26
13,0.101131402,2.072325945,0.289023042,14,102865.0391,49.56951141,31.10723114,9.559837341,1,13,0.032671161,0.101978198,2.314911127,1.018038869,21,15
14,1.412953377,44.15991974,0.69611299,15,102903.0156,35.51652908,31.45808792,9.805880547,4,14,0.115760557,0.191957623,1.544559121,2.822398663,62,20
15,5.899590969,68.78276062,1.120928168,16,103007.75,30.42216682,31.86930084,10.40086746,9,15,0.121448673,0.196617171,0.828939855,0.112172268,76,24
16,0.083591595,1.921343088,0.271242648,17,102893.5156,38.80550003,31.99709511,9.583011627,1,16,0.522616744,0.407865256,1.724046588,0.875351906,34,25
17,2.589896441,18.2539463,0.85191828,18,102865.0391,47.74590683,32.14598465,10.47219181,2,17,0.041665185,0.115162671,2.598193645,7.09E-03,32,19
18,0.339750439,10.41435337,0.432869643,19,102909.5234,33.36070251,32.37747574,9.911506653,4,18,0.238333643,0.275434107,1.982823849,0.881786406,31,25
19,2.16982913,34.39711761,0.803117275,20,102864.7344,42.99645615,33.82680511,10.23280907,6,19,0.108921304,0.186200768,0.953527212,0.363164872,32,27
20,0.83885777,27.43442535,0.585059345,21,102903.1016,34.9044342,32.9472847,9.897584915,6,20,0.26351282,0.289618254,0.771031618,0.276214451,66,30
21,0.230515212,6.366362572,0.380367726,22,102952.2656,30.20625114,34.08854675,9.778660774,5,21,0.395541102,0.354830444,2.00657773,0.356073916,149,35
22,0.515259504,9.67626667,0.497331291,23,102864.7344,45.19425583,34.05373001,9.96469593,2,22,0.193132252,0.247943357,0.792185366,0.356073916,35,32
23,0.046680301,1.255270958,0.223364934,24,102894.0391,33.29600143,34.60946655,9.512663841,1,23,0.062868379,0.14146246,2.569471836,0.015831243,119,30
24,0.142594159,3.6078825,0.324094027,25,102941.2891,29.25177193,34.76524734,9.598987579,3,24,0.088519514,0.167858973,1.176867008,0,36,33
25,1.756533623,22.28388214,0.748495698,26,103097.8594,24.70123291,34.7266922,9.740136147,3,25,0.035548087,0.106373437,1.453448415,0.000407979,39,31
26,0.518534303,10.40294647,0.498382717,27,102908.3906,32.32682037,34.65380096,9.729883194,4,26,0.02398611,0.087378576,2.633120537,0.05169398,63,28
27,0.611950457,16.43899345,0.526674807,28,102865.7344,41.02339935,35.33584595,9.875182152,4,27,0.199953347,0.252283812,2.603480577,2.09E+00,119,63
28,5.544909477,99.0642395,1.097998977,29,102894.0391,35.40800095,34.96419525,10.67315197,16,28,0.845896065,0.518899858,2.414144278,0.00E+00,40,34
29,0.122057051,3.162013054,0.307721674,30,102864.6953,45.22511292,35.36389542,9.630086899,1,29,0.433674485,0.371541202,1.993888617,0.681484938,119,66
30,0.226685315,4.881733418,0.378249407,31,102891.7656,33.03924942,35.71657562,9.529314041,4,30,0.014135554,0.06707821,1.337497473,0.017398048,38,36
31,0.460697383,8.295282364,0.47911787,32,103097.0859,26.20678329,36.01102066,9.864268303,3,31,0.074454784,0.153947055,1.24439466,0.011523467,42,36
32,0.144092813,5.055216789,0.325225473,33,102865,41.67899704,35.98403931,9.631766319,3,32,0.419560671,0.365445346,1.618023872,3.282685995,93,63
33,0.310332418,5.187941551,0.419996977,34,102886.6016,39.06483841,36.04831696,9.876358986,1,33,0.034096923,0.104179591,2.383462667,0.005512291,43,36
34,3.962552547,30.90897942,0.981662393,35,103098,23.29264069,35.60509872,10.20554638,5,34,0.062361568,0.140891105,1.497341514,0.309187591,42,38
35,0.609397173,14.05580616,0.525941312,36,102864.8125,42.33532715,36.41464615,9.738378525,2,35,0.126666948,0.200796768,2.732211351,0.090656146,74,37
36,0.269757748,8.441615105,0.400831431,37,102886.6016,38.30644608,36.89820099,9.580463409,6,36,0.219041109,0.26405105,1.192400217,0.35063085,43,42
37,6.076265335,41.68832779,1.132007718,38,102833.3906,50.79430008,37.25605011,10.15619087,2,37,2.769597292,0.938930333,3.122632027,0.000755592,149,44
38,0.346078098,10.55491257,0.435540468,39,102883.6719,39.62723541,37.08018875,9.686743736,4,38,0.545467317,0.416686505,1.690233111,3.139087677,93,43
39,0.16990298,4.536017418,0.343587577,40,103097.0781,27.281744,36.95555496,9.609657288,2,39,0.599409282,0.436804175,2.617823601,5.379072666,119,46
40,2.238767147,15.77479458,0.811534107,41,103098,23.51289368,37.99018097,9.903944016,3,40,0.232631624,0.272119373,1.489071488,1.701528907,67,46
41,0.536684692,9.38228035,0.504131138,42,102982.1797,28.88915062,37.99297714,9.817799568,2,41,0.055988077,0.133497417,1.185227275,0.104934402,67,45
42,0.294513285,10.84246731,0.41273576,43,102886.6641,38.54259491,38.11190033,9.720768929,6,42,0.762972176,0.492809892,2.078705788,40.21172333,155,87
43,1.276020765,28.98347092,0.672857404,44,102886.8828,38.29824448,39.27876663,9.697655678,11,43,0.217497453,0.263118953,3.031123877,2.426928043,59,43
44,4.225871563,53.80683899,1.002942204,45,102864.6953,45.05976486,39.48548889,9.784136772,2,44,0.023270709,0.086065657,2.390856981,0,144,47
45,0.25316155,7.294380188,0.392436773,46,102888.3438,36.47419739,40.5871582,9.699150085,4,45,0.013048902,0.064448386,1.100113392,0.012376595,85,67
46,2.024848223,25.80955696,0.784816206,47,102890.5234,33.94997025,40.13714218,9.779191971,4,46,0.020029953,0.079848178,3.060163021,0.05787304,60,51
47,0.078096531,1.922360778,0.265163899,48,102842.9688,47.75373077,41.91862488,9.472990036,1,47,0.01946024,0.078704424,1.309812069,0,61,49
48,0.620054245,12.63818455,0.528989494,49,102842.9688,50.61824799,41.84992599,9.893893242,1,48,0.027281016,0.093187004,3.324518919,0.003677327,52,50
49,0.162465215,3.781326771,0.33849889,50,102989.5625,30.9286499,43.26589203,9.689808846,1,49,0.048333082,0.124035873,1.164097309,1.16E-12,56,55
50,0.773583055,19.16072464,0.569472551,51,102864.4453,42.32937241,44.39553452,9.61509037,2,50,0.026500009,0.091843426,1.754861474,2.32E-13,90,57
51,0.58658433,12.75388908,0.519294798,52,102897.4141,38.28948975,45.40583038,9.738020897,2,51,0.010322912,0.057322636,2.255856037,0,15,11
52,0.850791514,17.34875679,0.587820649,53,102864.8594,45.62199402,44.49720001,10.06312275,3,52,0.003517446,0.03346099,1.420197606,0.00399627,92,26
53,0.40641281,8.158855438,0.459507823,54,102986.7734,35.45770645,45.04365921,9.739095688,1,53,0.023876617,0.087178916,1.295095801,0.291202337,30,26
54,1.039177895,17.23855209,0.628348291,55,102986.7734,36.16489792,45.99002075,9.8586483,3,54,0.005051643,0.040099721,2.73595047,0.000843359,30,28
55,0.456811994,7.158350945,0.47776717,56,102986.7891,33.87715912,46.55838776,9.699378014,1,55,0.048977502,0.124860011,3.025005341,0.038068183,63,43
56,0.255825818,3.224004269,0.393808633,57,102986.7891,34.17565536,47.68004608,9.78828907,2,56,0.230708808,0.270992428,1.002262592,0.706564248,102,59
57,0.083647102,1.809658647,0.27130267,58,103098,25.90304756,49.97312546,9.560503006,2,57,0.114225172,0.19068037,0.956981778,0,64,57
58,0.165740043,3.907129526,0.340758175,59,102990.7891,31.04356766,33.18113327,9.69265461,4,58,0.066354893,0.145332098,2.120749474,0.007382741,75,5
59,0.808662653,20.69300079,0.577953517,60,102882.9766,41.25938034,39.78514862,10.10134315,3,59,0.434251428,0.371788263,3.541171074,70.56481171,98,15
60,0.731898248,20.26958466,0.559054375,61,102886.3203,38.68384552,42.38735199,10.0508604,2,60,0.147321641,0.216550082,3.469218969,0.009486591,149,19
61,0.860616028,15.76999664,0.590074599,62,102989.5625,30.8114109,44.54839706,9.928647041,3,61,0.040697765,0.113817841,1.016074777,0.065672442,85,45
62,0.366060138,6.346727371,0.443766594,63,102894.9219,36.27254105,33.66157913,9.836512566,4,62,0.106058262,0.183737293,1.58055234,0,144,48
63,1.301664352,24.62840271,0.677334905,64,102888.0938,35.8937912,37.48797989,10.1005764,8,63,0.085415758,0.164889902,1.187439561,0,54,53
64,0.923614979,15.95202446,0.604135156,65,103098,26.75327873,50.01793289,9.997439384,2,64,0.348258197,0.332947493,1.77319026,2.409314156,62,28
65,1.129929662,21.27394676,0.646131516,66,103098,23.6782341,32.21261597,10.37985134,3,65,0.063579336,0.14226009,1.714969516,1.297047138,73,21
66,0.742333353,13.36693192,0.561698735,67,102891.6875,32.70977402,36.22989273,10.00095081,5,66,0.744098783,0.486676484,1.547005415,9.665041924,109,28
67,0.810105801,15.11117554,0.578297138,68,102889.3438,35.31830597,40.70377731,9.933838844,5,67,0.105158597,0.182956338,1.945342422,1.191376448,109,63
68,0.206647754,6.0034585,0.366758913,69,102988.6328,32.31141663,44.60335541,9.937232971,2,68,0.149564475,0.218192235,2.753691196,33.39620972,87,40
69,0.392536372,7.05363512,0.454217404,70,102864.4609,45.91346359,24.9459877,10.06317902,2,69,0.000537544,0.013080732,2.435796976,0,28,23
70,1.102509856,18.71178627,0.640862167,71,102919.2813,31.42906952,36.14478683,10.24810982,5,70,1.258447051,0.632910848,2.305940151,14.2619009,105,28
71,0.115118839,2.699409008,0.301776856,72,102865.0391,49.25246048,31.51116371,10.02620125,2,71,0.028148819,0.094657525,3.486018896,0.022890911,119,28
72,0.192105264,2.434427261,0.357945472,73,102867.1406,38.19414139,23.17324638,9.857776642,1,72,0.209612072,0.258305222,0.810702026,0.038981918,79,45
73,1.547998667,31.1402626,0.717619121,74,102938.4297,29.82276535,35.5921936,10.50880146,6,73,0.448666602,0.377908737,1.874408007,0.05787304,117,54
74,1.772963405,20.85635757,0.750822127,75,102833,53.27057648,38.40520859,10.26785755,1,74,0.000537549,0.013080789,1.378225923,1.99E-08,81,10
75,5.519654274,34.78324127,1.096329451,76,103096.75,27.41551971,27.87936592,10.86876297,7,75,0.026091466,0.091132715,1.18373847,0.251049042,24,21
76,0.190884128,5.422639847,0.357185423,77,102941.1328,29.20283127,34.11333466,10.10865021,4,76,0.273202002,0.294894725,1.894954443,2.28E-11,90,64
77,0.562772393,12.04714584,0.512170672,78,103093.6484,34.55864334,25.80380821,10.15744019,1,77,0.230668768,0.270968914,1.157133579,2.66E-11,4,3
78,0.074322142,1.684831977,0.260821372,79,102994.6797,26.78972244,38.14623642,10.0269413,1,78,0.025943559,0.090874039,0.693670034,0,71,13
79,0.451427937,9.482082367,0.475882709,80,102888.3281,36.40457535,39.8672905,10.06545734,5,79,0.032567382,0.10181611,2.242212057,0.337616205,38,27
80,0.785683334,17.50537872,0.572426379,81,102864.4453,42.16205597,43.86823273,10.32320881,3,80,0.139063105,0.210392878,3.914048672,0.165831789,126,2
81,0.399086058,8.180772781,0.45672977,82,103093.6484,36.80665588,28.84189606,10.2854929,3,81,0.342314363,0.33009401,1.558777452,0,120,4
82,0.135988981,3.174320936,0.319010556,83,102986.7891,33.84519196,45.23584747,10.32075405,1,82,0.012873245,0.064013131,2.509592533,0.002628268,27,19
83,0.205537632,3.644737482,0.366100997,84,102865.1953,44.10491562,29.67096519,10.24732399,1,83,0.194470644,0.248800978,3.586243868,0.05787304,209,61
84,0.126497507,3.023799896,0.311408967,85,102864.6953,45.75811768,35.70222092,10.28277493,3,84,0.307341367,0.312777549,0.898595393,0.003677327,80,50
85,0.403859526,10.25671101,0.458543539,86,102887.3359,36.11499023,41.43907928,10.1205864,4,85,0.064639971,0.143441767,1.377321601,0.122545637,79,67
86,1.52446425,17.87599182,0.713963866,87,103097.9766,25.00004959,24.09444809,10.14693069,4,86,0.020724917,0.081221588,1.237697601,0.532003582,58,21
87,1.012868166,15.04820633,0.623000085,88,102994.6797,25.9998188,39.13372803,10.20447445,4,87,0.059754822,0.137915015,1.718584418,1.58330667,73,70
88,1.173446178,23.71166039,0.654322028,89,102865.1875,46.57788849,27.77052116,10.05319309,3,88,0.019476466,0.078737229,1.329111934,0.002149119,110,36
89,1.038622856,26.39299202,0.628236413,90,102864.7344,44.69829941,32.80947495,10.30649281,4,89,0.102062799,0.180243164,1.924737573,6.25E-06,135,69
90,4.25578928,48.80760574,1.005303502,91,103098,25.3085022,49.77939224,11.20017433,6,90,1.690503955,0.733555794,1.795972705,0.151755959,123,6
91,0.662072122,16.79812622,0.540678263,92,103098,23.71570015,29.79031944,10.26722813,1,91,0.151319444,0.219468623,2.582535744,30.98552895,92,15
92,2.084905386,42.09973907,0.79249996,93,102919.9219,32.30994797,33.60769653,10.69026947,8,92,0.382856786,0.349094689,2.082397938,0.439109266,109,105
93,2.236491442,42.19084549,0.811259031,94,102887.3359,37.06866837,38.50179291,10.55866814,11,93,0.095841475,0.174663365,2.719074011,3.733272552,119,70
94,0.701037109,13.72246647,0.551083565,95,102987.8438,30.52750778,42.5126152,10.94109726,4,94,0.035412587,0.106170505,1.715088248,0.002757094,110,43
95,1.245104074,22.56400108,0.667378724,96,102864.7969,42.57868958,45.41187286,10.95052147,2,95,0.130046487,0.203457817,1.063497782,0.078610919,110,42
96,0.187498286,4.231057644,0.355060935,97,102865.1328,41.09201431,32.29071808,10.77704811,2,96,0.067335099,0.146401599,2.016834497,0.129213199,79,43
