Pores,,,,,,,,,,Throats,,,,,,
Pore ID,Volume,Area,EqRadius,LabelID,Pressure,X Coord,Y Coord,Z Coord,Coordination Number,Throat ID,Area,EqRadius,ChannelLength,FlowRatePerSec,Pore ID #1,Pore ID #2
0,0.5248065,10.45395851,0.500384152,1,102912.5781,33.67446899,26.46815872,11.85712719,1,0,0.029718081,0.097260267,2.116603613,0,45,5
1,0.264429182,7.465381622,0.398174644,2,102905.3516,37.04692078,27.48127174,11.52827168,1,1,0.000788825,0.015845841,2.62656498,1.48E-03,44,11
2,0.303727239,8.732942581,0.416995823,3,102892.75,45.7119751,28.35664749,11.44849968,2,2,0.094019003,0.172994733,1.415384531,0.001480804,48,11
3,0.41368404,9.470831871,0.462232053,4,102905.3516,37.06153488,29.07887459,11.90875435,1,3,0.157251343,0.223728985,1.484242678,4.66E-02,54,17
4,0.42911464,7.656476974,0.467909187,5,102892.75,44.40239334,29.43795013,11.83067608,2,4,0.036469791,0.107743651,1.699260473,0.039290972,21,17
5,0.081371367,1.943841577,0.26881963,6,103054.3828,30.87454033,31.76708794,11.31746674,1,5,0.02780956,0.094085373,2.060179949,0.008926945,68,17
6,0.174565449,4.411550045,0.346702159,7,103054.3828,28.84401321,32.79241943,11.65084457,1,6,0.192402929,0.24747476,0.971385002,1.006756425,68,21
7,0.551560223,10.58506966,0.508746505,8,102895.7578,39.20911789,32.71418762,11.51714134,2,7,0.279319048,0.298177809,2.034943104,7.737134933,68,23
8,0.198821455,4.433082581,0.36206916,9,102892.9531,43.66839981,32.90085983,11.54657841,1,8,0.115182616,0.19147785,1.760623336,1.321616411,23,21
9,0.706365645,16.23006058,0.552476287,10,103053.8984,33.06423569,33.64983749,11.41319084,1,9,0.071249358,0.150596723,2.141717672,0.218841285,25,23
10,0.096357912,2.542165279,0.284402162,11,102882.25,46.99629974,33.41804886,11.48592758,3,10,2.255745888,0.847364247,2.029127836,13.36060143,73,23
11,0.420733273,12.69694519,0.464842767,12,103052.8516,36.0274086,34.26952744,11.41582775,2,11,0.810146451,0.507816553,1.986575842,32.26390076,73,25
