"source","core_name","water_treatment","timepoint","total_volume_pores_mm3","connected_pores_fraction","connected_pores_percent","PNM_z_k_um2","flow_rate_z","tortuosity_z","PNM_y_k_um2","flow_rate_y","tortuosity_y","PNM_x_k_um2","flow_rate_x","tortuosity_x"
"summary_FOR_01_a_T0.csv","FOR_01","low","T0",0.120044,0.113285,94.37,0.00000711,35,1.780320955,0.0015,20900,1.49696942,0.000792,11100,1.62014354
"summary_FOR_01_b_F1.csv","FOR_01","low","F1",0.121693,0.115515,94.92,0.0000324,160,2.067561524,0.00189,26200,1.533102083,0.0011,15500,1.580167045
"summary_FOR_01_c_T1.csv","FOR_01","low","T1",0.170679,0.165694,97.08,0.000654,3230,1.897242181,0.00402,56000,1.515946086,0.00198,27700,1.655109787
"summary_FOR_01_d_F2.csv","FOR_01","low","F2",0.158171,0.152002,96.1,0.000574,2820,1.90718342,0.00384,53100,1.532838463,0.00129,18200,1.685357044
"summary_FOR_01_e_T2.csv","FOR_01","low","T2",0.159224,0.154328,96.93,0.000532,2640,1.871781204,0.00298,41400,1.527750048,0.00154,21600,1.663366006
"summary_FOR_01_f_F3.csv","FOR_01","low","F3",0.148097,0.142426,96.17,0.0002,993,1.941682357,0.00242,33600,1.51388938,0.000997,14000,1.653207542
"summary_FOR_01_g_T3.csv","FOR_01","low","T3",0.158137,0.15351,97.07,0.00059,2930,1.885460169,0.00277,38500,1.519846729,0.00131,18300,1.705373652
"summary_FOR_02_a_T0.csv","FOR_02","low","T0",0.0776872,0.0556597,71.65,0.00000185,7.93,1.830500137,0.00000409,64.1,1.885720091,0.0000000457,0.707,1.754839023
"summary_FOR_02_b_F1.csv","FOR_02","low","F1",0.0860447,0.0702136,81.6,0.0000146,62.8,1.858174535,0.0000233,370,1.768601273,0.0000029,44.8,1.801942269
"summary_FOR_02_c_T1.csv","FOR_02","low","T1",0.140338,0.129286,92.12,0.00009,388,1.870526441,0.000196,3100,1.75701064,0.000196,3040,1.772192963
"summary_FOR_02_d_F2.csv","FOR_02","low","F2",0.174521,0.159791,91.56,0.000223,964,1.836561515,0.000649,10200,1.757127104,0.000366,5670,1.821780093
"summary_FOR_02_e_T2.csv","FOR_02","low","T2",0.138531,0.127524,92.05,0.000119,515,1.867376863,0.00032,5050,1.698266409,0.000211,3280,1.826575198
"summary_FOR_02_f_F3.csv","FOR_02","low","F3",0.145145,0.1329,91.56,0.000144,620,1.867530173,0.000217,3430,1.824970179,0.000108,1680,1.776611933
"summary_FOR_02_g_T3.csv","FOR_02","low","T3",0.139999,0.129133,92.24,0.000137,592,1.864506198,0.000326,5160,1.718936646,0.000192,2970,1.808110876
"summary_FOR_03_a_T0.csv","FOR_03","low","T0",0.0753844,0.0673328,89.32,0.0000188,91.4,1.935598627,0.000405,5780,1.649844555,0.000739,8810,1.526445001
"summary_FOR_03_b_F1.csv","FOR_03","low","F1",0.095578,0.0876235,91.68,0.0000238,117,1.945139151,0.00133,18900,1.617520235,0.000972,11600,1.479053877
"summary_FOR_03_c_T1.csv","FOR_03","low","T1",0.104575,0.0969547,92.71,0.000115,557,1.919931156,0.00119,17100,1.707934221,0.00231,27600,1.599651756
"summary_FOR_03_d_F2.csv","FOR_03","low","F2",0.112967,0.10021,88.71,0.0000476,231,1.945903585,0.00117,16800,1.617536903,0.00153,18200,1.5586899
"summary_FOR_03_e_T2.csv","FOR_03","low","T2",0.114743,0.108929,94.93,0.000121,588,1.89247669,0.00143,20500,1.642927904,0.00268,32000,1.595461359
"summary_FOR_03_f_F3.csv","FOR_03","low","F3",0.0985332,0.089784,91.12,0.0000326,159,1.940332223,0.000954,13700,1.673193814,0.00116,13800,1.566978435
"summary_FOR_03_g_T3.csv","FOR_03","low","T3",0.11124,0.105714,95.03,0.000158,771,1.912603099,0.00129,18500,1.664086619,0.00239,28500,1.593045271
"summary_FOR_04_a_T0.csv","FOR_04","high","T0",0.199169,0.189758,95.27,0.000186,638,1.767591685,0.00208,35500,1.688598557,0.00133,19200,1.642424919
"summary_FOR_04_b_F1.csv","FOR_04","high","F1",0.143406,0.132526,92.41,0.0000182,59.5,1.881294561,0.0018,29300,1.680498051,0.00116,17700,1.624453601
"summary_FOR_04_c_T1.csv","FOR_04","high","T1",0.129157,0.109479,84.76,0.00000732,24,1.842949256,0.000823,13400,1.556556572,0.000343,5230,1.651149336
