LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-7810,LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810,FLUX_LI-7810
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#]
20250109,235923,9.99957,4,1,1,-9999,-9999,4.28847,-9999,447.716,5.839,0.409217,-0.00593469,65.1622,0.0435237,0,0.00386711,0.000359311,431.199,447.716,50,5,40
20250110,000055,10.0006,1,1,1,-9999,-9999,4.40103,-9999,447.628,5.98908,-0.4611,0.00669084,13.635,0.289714,0,0.000911954,0.00180019,451.344,447.628,-13.2272,2,100
20250110,000327,10.0024,4,1,1,-9999,-9999,4.29575,-9999,448.285,5.83487,-0.363958,0.00527843,92.3142,0.0299556,0,0.0048727,5.2808e-09,1e+06,448.285,80.7271,5,40
20250110,000459,10.0035,2,1,1,-9999,-9999,4.29575,-9999,448.361,6.80019,-1.96712,0.0285565,3.60985,0.856536,0,0.00102528,0.00219447,461.373,448.361,5.49409,2,100
20250110,000731,10.0052,4,1,1,-9999,-9999,4.30199,-9999,448.246,6.11099,-0.161336,0.00234054,178.309,0.00820901,0,0.00417339,2.34159e-09,1e+06,448.246,86.1651,4,40
20250110,000903,10.0063,3,1,1,-9999,-9999,4.31136,-9999,448.97,6.65838,-5.18326,0.0752385,1.23231,0.971137,0,0.000883309,0.00532124,463.109,448.97,-5.65572,4,100
20250110,001135,10.008,4,1,1,-9999,-9999,4.30927,-9999,449.058,6.10694,0.0646876,-0.000938458,530.472,0.000934373,0,0.00497826,2.08984e-06,0,449.058,-142.977,6,40
20250110,001307,10.0091,4,1,1,-9999,-9999,4.30719,-9999,449.24,5.87712,-0.236899,0.00343601,103.362,0.0240399,0,0.0035515,3.43755e-09,1e+06,449.24,111.733,4,40
